Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
boudin-cowaute,Ball tip corned beef,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Duis auto mr reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim veniam, quis nostrud exercitation ullamc laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit iesse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sede eiusmod tempor incididunt ut labore et doloreme gna aliqua. Duis aute irure dolor in reprehenderit in voluptatevelit esse pariatur. Duis aute irure reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim vexercitation ullamco laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit in voluptate velit. esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Ut enim ad minim vexercitation ullamco laboris nisi ut aliq uip ex eacommod consequat. Duis reprehenderit in voluptate velit. esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Duis auto mr reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim veniam, quis nostrud exercitation ullamc laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit iesse cillum dolore eusm fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit,</p>",Sports,Amazon,"$200 - $299, deal 2019/9/9, Fashion, New, Omega",true,Title,Default Title,,,,,"",0,,1,deny,manual,231.00,239.00,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/5_242d51ae-d3d3-439d-8e31-261d5fb345bc.jpg?v=1544778020,1,,false,,,,,,,,,,,,,,,,,kg,,
boudin-cowaute,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/6_2adde426-8528-47f7-9bab-fa8acac428f7.jpg?v=1544778027,2,,,,,,,,,,,,,,,,,,,,,
boudin-cowaute,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/7_c287da9e-7a20-4543-b4cd-1d455bdf966f.jpg?v=1544778033,3,,,,,,,,,,,,,,,,,,,,,
boudin-cowaute,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/8_d39b9574-4abd-4955-a06e-407065e6214c.jpg?v=1544778040,4,,,,,,,,,,,,,,,,,,,,,
bresaola-volupta,Boudin ando bualo,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Duis auto mr reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim veniam, quis nostrud exercitation ullamc laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit iesse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sede eiusmod tempor incididunt ut labore et doloreme gna aliqua. Duis aute irure dolor in reprehenderit in voluptatevelit esse pariatur. Duis aute irure reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim vexercitation ullamco laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit in voluptate velit. esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Ut enim ad minim vexercitation ullamco laboris nisi ut aliq uip ex eacommod consequat. Duis reprehenderit in voluptate velit. esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Duis auto mr reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim veniam, quis nostrud exercitation ullamc laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit iesse cillum dolore eusm fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit,</p>",Sports,Amazon,"0 - $99, Black, Fashion, Fitness, White",true,Color,Orange,Size,OneSize,,,"",0,,0,deny,manual,37.00,36.00,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/7_9a0bebf8-c9c1-4264-b550-4748561a6c24.jpg?v=1544778162,1,,false,,,,,,,,,,,,,,,,,kg,,
bresaola-volupta,,,,,,,,Black,,OneSize,,,"",0,,0,deny,manual,39.00,36.00,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/8_e3167b91-e3b9-4015-9243-30f51db65937.jpg?v=1544778171,2,,,,,,,,,,,,,,,,,,,kg,,
bresaola-volupta,,,,,,,,White,,OneSize,,,"",0,,0,deny,manual,42.00,36.00,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/10_8e6fa347-1fc4-4861-a8c5-5eb7e5dfaae2.jpg?v=1544778179,3,,,,,,,,,,,,,,,,,,,kg,,
bresaola-volupta,,,,,,,,Orange,,50,,,"",0,,1,deny,manual,45.00,36.00,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
andouille-ribeye,Boudin andou bualo,"<p>Curabitur egestas malesuada volutpat. Nunc vel vestibulum odio, ac pellentesque lacus. Pellentesque dapibus nunc nec est imperdiet, a malesuada sem rutrum. Sed quam odio, porta a finibus quis, sagittis aliquet leo. Nunc ornare metus urna, eu luctus velit placerat ut. Cras at porttitor lectus. Ut dapibus aliquam nibh, in imperdiet libero tincidunt sit amet. Morbi sodales fermentum nibh nec facilisis. Morbi pharetra varius velit, eget varius libero finibus quis. Quisque auctor varius lectus, lacinia rhoncus velit posuere vel. Cras condimentum tincidunt urna, sed vehicula ipsum dapibus et. Pellentesque pharetra ultrices varius. Sed viverra nec purus ut ornare.</p>
<h3>Phasellus elementum:</h3>
<ul>
<li>Aenean auctor sem ac ex efficitur</li>
<li>Non mattis odio bibendum</li>
<li>Sed vitae enim at tortor finibus</li>
<li>Integer facilisis eleifend vehicula</li>
<li>In hac habitasse platea dictumst</li>
</ul>
<p>Sed molestie orci sem, at semper est molestie ac. Suspendisse cursus feugiat erat, eu posuere massa. Nullam posuere nibh non eros lobortis tempus. Maecenas dignissim elementum massa, vel accumsan urna elementum in. Suspendisse at dui euismod, rhoncus eros non, imperdiet ipsum. Vestibulum vehicula vel turpis et vestibulum. Ut porta et ex maximus malesuada.</p>",Sports,Nikes,"$100 - $199, Black, deal 2019/9/9, Fashion",true,Size,OneSize,Color,Orange,,,"",0,,0,deny,manual,120.00,134.00,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/8_5dcf41b4-c651-4926-bf9e-b299eb3d4390.jpg?v=1544778232,1,,false,,,,,,,,,,,,,,,,,kg,,
andouille-ribeye,,,,,,,,OneSize,,Black,,,"",0,,0,deny,manual,120.00,134.00,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/10_721cdc7f-88f9-471e-a5d0-424934109cd5.jpg?v=1544778239,2,,,,,,,,,,,,,,,,,,,kg,,
andouille-ribeye,,,,,,,,OneSize,,White,,,"",0,,0,deny,manual,120.00,134.00,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/11_33697305-b00e-4cde-aaa5-4a2dd8ddcccc.jpg?v=1544778247,3,,,,,,,,,,,,,,,,,,,kg,,
andouille-ribeye,,,,,,,,50,,Orange,,,"",0,,0,deny,manual,120.00,134.00,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
andouille-ribeye,,,,,,,,50,,Black,,,"",0,,0,deny,manual,120.00,134.00,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
andouille-ribeye,,,,,,,,50,,White,,,"",0,,0,deny,manual,120.00,134.00,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
brisket-voluptab,Capicola leber ham,"<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur. </p>",Adidas,Amazon,"$300 - $399, deal 2019/9/9, Fashion, label2, New",true,Title,Default Title,,,,,"",0,,1,deny,manual,334.00,337.00,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/11_061bf642-81d2-4de3-ab4e-6316989f41c8.jpg?v=1544778373,1,,false,,,,,,,,,,,,,,,,,kg,,
brisket-voluptab,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/12_670083a4-f02b-494b-88aa-6cfbd2e4f807.jpg?v=1544778422,2,,,,,,,,,,,,,,,,,,,,,
brisket-voluptab,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/10_dfaed767-41ef-4a8c-aa27-a013fa395e48.jpg?v=1544778425,3,,,,,,,,,,,,,,,,,,,,,
brisket-voluptab,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/5_04ff2203-e3ca-4af2-8f68-582f2504277b.jpg?v=1544778432,4,,,,,,,,,,,,,,,,,,,,,
